	louvain
0	3
1	1
2	1
3	4
4	3
5	0
6	2
7	1
8	4
9	1
10	6
11	3
12	3
13	1
14	3
15	1
16	6
17	4
18	2
19	1
20	0
21	4
22	5
23	0
24	3
25	1
26	1
27	8
28	1
29	0
30	2
31	3
32	0
33	1
34	3
35	2
36	1
37	0
38	4
39	6
40	0
41	1
42	1
43	0
44	1
45	0
46	0
47	1
48	7
49	1
50	4
51	0
52	1
53	0
54	0
55	5
56	0
57	5
58	6
59	1
60	1
61	4
62	3
63	4
64	2
65	4
66	0
67	1
68	3
69	1
70	0
71	1
72	0
73	2
74	2
75	1
76	1
77	1
78	4
79	0
80	4
81	1
82	2
83	4
84	4
85	7
86	2
87	2
88	4
89	4
90	0
91	0
92	0
93	1
94	1
95	2
96	0
97	0
98	1
99	1
100	0
101	1
102	1
103	2
104	7
105	0
106	1
107	0
108	6
109	0
110	2
111	0
112	3
113	3
114	0
115	1
116	0
117	1
118	0
119	4
120	0
121	0
122	1
123	1
124	0
125	0
126	5
127	1
128	0
129	1
130	0
131	5
132	1
133	3
134	1
135	0
136	0
137	1
138	5
139	0
140	5
141	8
142	0
143	2
144	5
145	2
146	3
147	1
148	1
149	0
150	6
151	2
152	4
153	2
154	1
155	0
156	4
157	0
158	0
159	0
160	3
161	1
162	4
163	1
164	1
165	0
166	1
167	2
168	2
169	3
170	3
171	0
172	6
173	7
174	1
175	1
176	7
177	0
178	1
179	1
180	3
181	2
182	6
183	0
184	0
185	1
186	1
187	7
188	3
189	1
190	0
191	2
192	0
193	6
194	0
195	0
196	0
197	6
198	1
199	1
200	1
201	1
202	7
203	1
204	0
205	8
206	0
207	2
208	2
209	2
210	5
211	0
212	2
213	1
214	4
215	4
216	0
217	3
218	2
219	0
220	1
221	1
222	3
223	0
224	2
225	1
226	8
227	2
228	0
229	2
230	0
231	2
232	4
233	3
234	0
235	5
236	0
237	3
238	1
239	5
240	1
241	1
242	1
243	1
244	3
245	1
246	2
247	0
248	3
249	1
250	1
251	0
252	3
253	1
254	3
255	0
256	4
257	0
258	0
259	0
260	0
261	2
262	2
263	7
264	1
265	1
266	0
267	3
268	6
269	1
270	1
271	2
272	0
273	2
274	4
275	0
276	2
277	1
278	2
279	0
280	2
281	1
282	0
283	3
284	1
285	4
286	1
287	5
288	6
289	0
290	6
291	6
292	1
293	1
294	2
295	1
296	1
297	0
298	2
299	2
300	3
301	0
302	0
303	1
304	0
305	1
306	0
307	3
308	2
309	4
310	1
311	0
312	0
313	1
314	6
315	0
316	2
317	1
318	1
319	4
320	3
321	3
322	1
323	0
324	2
325	1
326	2
327	1
328	2
329	1
330	1
331	2
332	1
333	1
334	2
335	3
336	2
337	3
338	0
339	1
340	0
341	1
342	0
343	1
344	6
345	2
346	0
347	0
348	0
349	1
350	2
351	1
352	3
353	0
354	7
355	2
356	0
357	4
358	0
359	1
360	8
361	3
362	0
363	1
364	0
365	1
366	3
367	1
368	1
369	3
370	2
371	0
372	5
373	2
374	1
375	0
376	2
377	0
378	8
379	5
380	6
381	1
382	1
383	0
384	1
385	1
386	1
387	5
388	0
389	3
390	1
391	1
392	1
393	1
394	5
395	6
396	0
397	2
398	3
399	2
400	1
401	0
402	1
403	6
404	0
405	0
406	2
407	0
408	0
409	0
410	0
411	6
412	4
413	0
414	3
415	0
416	0
417	0
418	1
419	1
420	0
421	0
422	2
423	7
424	3
425	3
426	1
427	2
428	4
429	0
430	1
431	0
432	5
433	3
434	1
435	1
436	1
437	4
438	0
439	0
440	2
441	1
442	1
443	5
444	1
445	1
446	2
447	1
448	1
449	1
450	4
451	5
452	2
453	0
454	3
455	1
456	0
457	1
458	1
459	0
460	1
461	0
462	4
463	1
464	7
465	4
466	1
467	3
468	5
469	0
470	0
471	0
472	1
473	1
474	0
475	0
476	2
477	8
478	0
479	0
480	3
481	1
482	0
483	2
484	0
485	2
486	0
487	1
488	1
489	0
490	2
491	5
492	7
493	1
494	0
495	2
496	5
497	4
498	0
499	0
500	2
501	1
502	1
503	5
504	0
505	1
506	0
507	2
508	2
509	3
510	7
511	1
512	4
513	0
514	0
515	2
516	0
517	3
518	1
519	7
520	5
521	3
522	8
523	5
524	2
525	1
526	6
527	2
528	2
529	0
530	1
531	4
532	2
533	0
534	0
535	5
536	3
537	1
538	0
539	0
540	4
541	2
542	4
543	1
544	4
545	0
546	2
547	5
548	0
549	2
550	0
551	3
552	3
553	0
554	1
555	0
556	1
557	8
558	5
559	0
560	7
561	0
562	3
563	1
564	2
565	3
566	2
567	5
568	3
569	0
570	2
571	5
572	1
573	2
574	2
575	1
576	5
577	0
578	2
579	0
580	0
581	0
582	7
583	1
584	0
585	0
586	0
587	0
588	1
589	2
590	5
591	0
592	1
593	8
594	0
595	4
596	0
597	0
598	1
599	1
600	2
601	1
602	3
603	1
604	2
605	2
606	1
607	2
608	1
609	3
610	1
611	3
612	1
613	2
614	2
615	0
616	1
617	0
618	3
619	6
620	4
621	1
622	2
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	1
631	2
632	2
633	0
634	1
635	7
636	0
637	0
638	0
639	1
640	1
641	0
642	1
643	1
644	4
645	3
646	1
647	1
648	4
649	3
650	5
651	4
652	1
653	4
654	1
655	1
656	2
657	3
658	2
659	0
660	2
661	4
662	2
663	0
664	6
665	4
666	0
667	0
668	1
669	0
670	1
671	0
672	0
673	7
674	6
675	1
676	5
677	2
678	0
679	2
680	0
681	0
682	3
683	5
684	1
685	1
686	2
687	1
688	0
689	0
690	1
691	2
692	2
693	0
694	4
695	0
696	1
697	0
698	1
699	1
700	2
701	1
702	0
703	1
704	2
705	0
706	1
707	0
708	1
709	1
710	0
711	0
712	4
713	0
714	3
715	2
716	1
717	2
718	3
719	2
720	1
721	0
722	5
723	6
724	5
725	2
726	1
727	0
728	0
729	2
730	1
731	1
732	2
733	0
734	1
735	0
736	6
737	0
738	5
739	0
740	7
741	3
742	1
743	1
744	3
745	4
746	1
747	3
748	1
749	2
750	3
751	1
752	4
753	1
754	0
755	1
756	3
757	0
758	4
759	0
760	3
761	3
762	0
763	1
764	1
765	1
766	3
767	1
768	2
769	0
770	5
771	5
772	1
773	1
774	3
775	0
776	0
777	7
778	3
779	5
780	4
781	1
782	5
783	2
784	3
785	2
786	1
787	1
788	1
789	2
790	0
791	0
792	1
793	1
794	4
795	0
796	5
797	1
798	4
799	0
800	2
801	4
802	0
803	2
804	1
805	0
806	1
807	1
808	2
809	1
810	3
811	3
812	2
813	0
814	2
815	2
816	1
817	3
818	1
819	3
820	6
821	0
822	1
823	1
824	0
825	0
826	1
827	2
828	1
829	1
830	0
831	4
832	1
833	1
834	2
835	0
836	0
837	0
838	0
839	1
840	2
841	0
842	7
843	7
844	4
845	3
846	0
847	1
848	0
849	0
850	0
851	5
852	1
853	8
854	4
855	0
856	2
857	0
858	3
859	3
860	1
861	1
862	2
863	2
864	0
865	1
866	0
867	1
868	1
869	5
870	0
871	0
872	1
873	3
874	3
875	2
876	3
877	0
878	2
879	1
880	2
881	4
882	5
883	0
884	3
885	2
886	2
887	1
888	4
889	0
890	0
891	3
892	4
893	6
894	6
895	4
896	0
897	1
898	2
899	1
900	4
901	2
902	4
903	0
904	2
905	0
906	0
907	0
908	1
909	2
910	0
911	0
912	0
913	6
914	2
915	3
916	5
917	0
918	0
919	0
920	0
921	0
922	0
923	5
924	0
925	0
926	1
927	0
928	1
929	0
930	0
931	2
932	1
933	6
934	2
935	0
936	0
937	5
938	3
939	0
940	0
941	0
942	7
943	3
944	1
945	1
946	2
947	3
948	1
949	1
950	3
951	3
952	0
953	0
954	3
955	2
956	4
957	3
958	0
959	8
960	2
961	0
962	2
963	3
964	1
965	0
966	0
967	3
968	2
969	2
970	3
971	1
972	1
973	0
974	1
975	3
976	5
977	1
978	1
979	1
980	3
981	2
982	4
983	4
984	1
985	3
986	0
987	7
988	0
989	1
990	0
991	3
992	3
993	0
994	1
995	0
996	2
997	1
998	1
999	2
1000	3
1001	3
1002	2
1003	0
1004	0
1005	2
1006	4
1007	1
1008	2
1009	3
1010	7
1011	2
1012	1
1013	6
1014	1
1015	3
1016	3
1017	4
1018	0
1019	0
1020	3
1021	1
1022	1
1023	2
1024	1
1025	2
1026	1
1027	4
1028	2
1029	6
1030	3
1031	0
1032	0
1033	1
1034	3
1035	1
1036	5
1037	0
1038	0
1039	1
1040	3
1041	4
1042	4
1043	1
1044	8
1045	0
1046	0
1047	5
1048	4
1049	1
1050	2
1051	2
1052	2
1053	4
1054	0
1055	4
1056	1
1057	1
1058	0
1059	2
1060	1
1061	2
1062	3
1063	0
1064	1
1065	3
1066	0
1067	2
1068	5
1069	2
1070	1
1071	1
1072	5
1073	1
1074	4
1075	0
1076	1
1077	4
1078	0
1079	2
1080	4
1081	4
1082	0
1083	1
1084	2
1085	0
1086	0
1087	2
1088	4
1089	5
